	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
RASA4B	24	11	14	8	0	9	19	0	32	0	4	12	12	5	0	0	1	36	0	4
RASA4CP	65	17	23	0	0	54	51	0	87	0	12	12	7	2	2	10	2	45	0	4
RASA4DP	13	4	4	0	0	0	4	0	25	0	0	2	6	2	0	0	0	10	0	0
RASAL1	180	63	96	0	8	95	227	0	192	0	12	45	68	11	6	1	3	94	0	4
RASAL2	114	119	77	8	19	164	86	75	19	202	47	59	66	29	0	61	34	110	251	63
RASAL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASAL3	1146	313	409	66	59	491	1331	4	2764	0	160	406	355	118	57	139	38	1696	0	104
RASD1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASD2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
RASEF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGEF1A	33	2	5	0	0	5	17	1	19	0	0	20	3	1	0	4	0	34	0	0
RASGEF1B	77	19	30	4	13	67	185	2	72	0	27	34	14	20	8	18	2	194	0	7
RASGEF1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASGRF1	217	86	68	0	4	18	20	0	91	0	2	51	61	6	0	8	4	92	0	8
RASGRF2	38	8	11	0	0	4	2	0	13	1	0	19	10	0	0	0	0	39	0	0
RASGRF2-AS1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
RASGRP1	322	174	57	13	13	70	141	0	202	0	37	108	101	15	10	8	10	404	0	5
RASGRP2	1016	267	418	24	105	981	3021	8	1504	0	270	340	251	72	135	256	32	1302	0	104
RASGRP3	1322	837	506	8	51	299	704	2	1296	0	182	321	611	53	33	65	27	625	0	101
RASGRP3-AS1	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	3	0	2
RASGRP4	93	70	43	0	0	6	24	0	153	0	0	22	37	3	0	0	0	155	0	0
RASIP1	8	0	2	0	0	0	10	0	12	0	0	2	4	0	0	0	0	0	0	0
RASL10A	0	4	2	0	4	0	0	0	9	0	0	0	2	0	0	0	0	1	0	4
RASL10B	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0
RASL11A	19	4	6	5	0	3	5	0	22	0	4	3	5	1	0	4	0	18	0	0
RASL11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASL12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
RASSF1	489	162	159	10	12	135	416	2	997	0	66	154	133	53	10	22	7	657	0	48
RASSF1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASSF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASSF10-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASSF2	1626	605	526	55	80	534	1627	16	1891	0	239	440	483	93	30	152	46	1616	0	97
RASSF3	421	198	138	25	18	201	550	5	246	0	91	182	144	21	7	43	14	394	0	38
RASSF4	62	10	22	7	7	0	18	4	117	2	4	27	14	5	0	3	1	103	0	2
RASSF5	1650	681	548	58	61	534	1363	4	1980	1	201	502	509	135	38	105	22	1922	0	73
RASSF6	204	313	82	0	4	19	56	0	64	0	4	73	175	1	7	4	0	20	0	0
RASSF7	112	22	44	7	0	20	66	0	221	0	12	38	20	12	7	5	7	118	0	3
RASSF8	8	10	2	0	0	0	0	0	3	0	0	1	2	0	0	0	0	2	0	0
RASSF8-AS1	2	3	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
RASSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAVER1	298	145	145	14	20	180	310	5	178	9	57	69	104	32	0	43	8	490	9	17
RAVER2	9	16	4	0	0	4	22	0	7	0	0	0	1	0	0	0	0	6	0	4
RAX	1	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
RAX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB1	373	217	131	7	35	301	718	11	200	11	99	172	189	24	20	75	8	383	10	30
RB1-DT	2	0	0	0	0	2	3	0	3	0	0	0	1	0	0	0	0	6	0	0
RB1CC1	213	193	74	15	26	160	196	56	90	56	59	129	136	45	0	70	29	242	100	47
RBAK	113	81	37	0	4	84	151	1	63	0	24	47	65	8	0	18	7	125	0	13
RBAK-RBAKDN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBAKDN	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
RBBP4	1178	659	486	55	105	502	923	222	884	135	224	360	505	201	19	167	92	1175	188	93
RBBP4P1	9	5	1	0	0	0	5	0	4	0	5	1	1	0	0	0	0	4	0	0
RBBP4P2	468	199	222	12	77	211	104	233	68	204	59	218	205	226	4	168	156	224	230	106
RBBP4P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP4P4	7	2	2	0	0	1	0	3	2	1	0	4	1	2	0	0	1	4	2	0
RBBP4P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP4P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP5	403	208	182	4	82	186	296	127	264	139	85	157	150	102	10	134	108	333	164	113
RBBP6	1086	776	293	38	99	563	963	267	586	197	306	557	620	161	2	256	207	948	272	207
RBBP7	4014	2192	1862	99	478	1803	1620	1953	2610	1369	667	1908	2042	1249	90	1438	1122	3064	1969	758
RBBP8	151	126	76	0	14	60	178	12	439	6	18	42	81	16	4	15	12	300	18	9
RBBP8NL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP8P1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP9	72	46	31	0	0	45	74	3	100	3	8	27	25	11	0	16	4	130	4	0
RBCK1	886	240	403	18	49	242	663	26	2467	11	60	254	220	114	20	45	24	1133	21	48
RBFA	59	29	27	0	0	5	67	0	238	0	17	11	23	5	0	6	0	102	0	2
RBFADN	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
RBFOX1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	4
RBFOX2	979	583	412	12	131	404	186	450	203	591	127	471	541	479	37	411	443	579	825	207
RBFOX3	1	1	1	0	0	0	0	0	0	2	0	4	1	1	0	0	1	4	5	0
RBIS	82	44	49	1	4	37	105	0	328	0	19	23	36	8	7	7	5	150	0	11
RBISP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBISP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBKS	8	4	5	0	0	3	4	5	29	0	0	3	5	2	0	0	1	6	2	0
RBL1	99	87	38	15	13	55	146	0	178	0	33	19	70	2	15	5	3	165	0	5
RBL2	588	297	240	26	52	342	915	27	252	16	122	190	186	54	26	96	50	707	37	69
RBM10	723	322	394	23	54	269	766	83	2074	45	121	221	265	122	47	82	67	1016	61	41
RBM11	5	3	1	0	0	0	10	0	0	0	2	1	0	1	0	4	3	5	0	0
RBM11P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM12	764	405	253	14	118	363	644	213	555	123	119	254	338	113	5	153	95	924	193	73
RBM12B	198	147	67	6	29	145	212	93	99	90	73	124	97	35	17	57	55	166	113	75
RBM12B-AS1	2	1	0	0	0	6	3	0	0	0	0	2	0	1	0	0	0	2	0	0
RBM14	1691	969	790	81	153	740	737	876	940	635	248	690	828	572	28	591	500	1203	875	238
RBM14-RBM4	1	0	0	0	0	4	3	0	6	0	0	1	4	0	0	0	0	0	0	0
RBM15	651	314	238	25	74	298	349	224	452	145	161	287	357	129	16	155	102	431	250	92
RBM15-AS1	4	3	3	0	0	0	5	0	1	0	0	1	2	0	0	0	0	5	0	3
RBM15B	482	179	187	4	32	230	518	0	889	1	64	126	144	54	46	48	5	716	2	48
RBM17	1424	711	588	46	109	560	942	292	2053	199	215	425	668	352	62	283	182	1391	321	163
RBM17P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM17P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM17P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM17P4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RBM18	178	92	89	3	33	89	133	58	174	80	50	80	79	48	1	49	29	200	80	52
RBM19	264	101	111	18	16	128	404	3	637	0	51	52	81	29	8	43	9	370	0	36
RBM20	5	0	1	0	0	0	0	0	4	0	0	4	1	2	0	0	0	0	0	0
RBM22	469	237	204	24	38	231	608	67	635	24	145	157	160	62	11	84	63	522	70	55
RBM22P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P2	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0
RBM22P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM22P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM23	442	208	238	25	9	266	693	3	776	0	91	120	181	48	13	71	16	620	0	38
RBM24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM25	927	822	375	53	169	775	1051	381	598	285	361	515	639	173	50	455	205	1004	412	203
RBM26	542	364	140	11	73	323	641	89	277	116	164	278	251	74	13	178	53	503	133	83
RBM26-AS1	20	8	7	0	0	7	39	2	10	0	21	8	8	2	0	4	0	12	0	0
RBM27	163	108	58	5	20	111	79	58	76	50	50	149	95	19	13	26	46	103	72	10
RBM28	143	68	60	9	15	89	176	3	424	0	40	32	45	8	10	19	5	293	0	32
RBM3	1132	814	345	22	43	228	1005	8	3210	6	122	241	545	52	10	81	33	1609	12	51
RBM33	615	312	189	23	51	422	834	18	506	7	164	220	248	40	39	68	29	764	5	123
RBM34	3	3	0	1	0	0	3	0	21	0	0	0	1	0	0	0	0	8	0	0
RBM38	1282	244	620	56	31	559	1421	0	3135	1	178	352	204	182	28	90	20	1992	1	49
RBM38-AS1	12	5	3	0	0	18	25	0	23	0	3	6	2	0	0	7	0	15	0	0
RBM39	3403	1896	1335	105	487	1874	2404	1162	1938	976	825	1759	1863	738	111	951	822	2642	1088	759
RBM4	147	53	23	0	19	33	148	0	189	0	31	48	52	9	6	8	7	129	0	7
RBM41	43	47	26	7	14	38	98	3	37	4	25	25	28	1	0	18	6	66	6	12
RBM42	1108	418	561	50	99	344	683	284	2749	212	153	367	429	350	72	190	120	1075	291	140
RBM43	23	12	9	0	0	21	52	0	11	0	4	8	6	0	0	2	0	27	0	2
RBM43P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM44	3	2	0	0	4	0	2	1	4	0	0	1	2	0	0	0	0	5	0	0
RBM45	68	41	22	0	5	11	54	0	122	0	8	15	25	4	0	3	3	88	0	0
RBM46	2	0	2	0	0	0	0	0	0	0	0	1	2	0	0	4	0	1	0	0
RBM47	182	201	48	0	8	10	37	0	41	0	0	43	166	0	0	0	0	44	0	3
RBM48	104	57	40	0	21	56	109	4	123	0	25	42	40	13	0	13	0	84	0	5
RBM48P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM4B	352	217	143	16	27	171	253	131	188	118	68	194	185	129	14	95	93	251	186	58
RBM5	1044	473	360	65	64	628	1630	239	875	105	245	445	381	173	39	178	185	951	154	177
RBM5-AS1	1	1	0	0	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0
RBM6	1755	912	656	48	159	1029	2254	368	1699	263	484	569	816	252	75	308	279	1533	315	226
RBM7	90	62	18	0	0	22	58	0	103	0	20	43	46	7	0	0	2	98	0	15
RBM7P1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
RBM8A	442	197	180	23	24	154	498	1	1533	0	75	159	149	23	17	66	7	651	0	37
RBM8B	2	0	4	1	1	1	3	0	32	0	0	2	1	0	0	1	0	4	0	0
RBMS1	1405	1167	594	52	284	690	521	705	238	766	351	1175	1037	426	64	568	762	818	1107	380
RBMS1P1	2	4	5	4	4	0	11	0	2	1	0	2	0	1	0	0	0	1	1	0
RBMS2	57	26	7	0	0	16	31	0	40	0	11	10	12	2	0	4	0	25	0	9
RBMS2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3	5	2	4	0	0	0	0	0	2	4	0	3	2	1	1	0	0	6	4	0
RBMS3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMS3-AS3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
RBMX	2193	1183	1080	50	189	952	1933	488	2993	431	559	894	927	677	93	517	322	2773	547	298
RBMX2	190	68	102	3	10	68	201	0	616	0	15	45	62	20	10	2	1	188	0	13
RBMX2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMX2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMX2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMX2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMX2P5	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
RBMXL1	246	102	112	16	46	90	200	64	169	56	77	78	89	57	0	59	12	232	69	24
RBMXL2	7	5	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0
RBMXL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMXP1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RBMXP2	8	0	4	0	0	2	10	1	7	1	0	1	3	2	0	3	0	3	0	4
RBMXP4	1	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	1
RBMY1A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1A3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1HP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY1KP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2DP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2EP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2FP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2GP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2HP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2JP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2KP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2OP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2QP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2TP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2UP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2WP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2XP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY2YP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBMY3AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
RBP7	0	0	0	0	0	4	0	0	6	0	0	1	0	0	0	0	0	0	0	0
RBPJ	320	141	115	6	19	123	231	39	447	8	37	144	117	24	11	50	20	325	4	33
RBPJL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPJP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPJP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPJP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPJP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPMS	1176	503	552	10	89	269	240	652	368	469	171	606	588	516	47	254	599	646	604	180
RBPMS-AS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPMS2	1	0	3	1	0	0	0	0	7	0	0	1	0	1	0	0	0	0	0	5
RBPMS2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBPMSLP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBSN	141	62	40	0	4	45	202	1	123	0	36	36	58	12	0	28	1	154	0	29
RBX1	1162	465	634	42	134	380	547	425	1681	334	162	549	573	621	55	301	210	876	510	156
RBX1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBX1P2	3	0	1	0	0	0	1	0	3	0	0	0	4	0	0	4	0	4	0	2
RC3H1	203	157	47	22	33	154	238	71	96	72	64	108	107	31	7	60	39	196	101	55
RC3H1-IT1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC3H2	1364	780	417	42	303	785	697	545	431	508	344	916	823	415	32	515	332	709	766	377
RCAN1	110	36	42	0	12	45	45	20	96	17	3	37	39	15	0	1	17	86	22	16
RCAN2	5	1	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	4	0	0
RCAN3	172	62	32	4	4	66	176	0	157	0	14	67	42	17	4	18	2	230	0	18
RCAN3AS	2	0	1	0	0	3	0	0	4	0	0	0	2	0	0	0	0	3	0	0
RCBTB1	191	105	52	1	22	76	226	38	110	27	40	73	76	10	0	27	24	170	44	36
RCBTB2	142	126	27	0	3	6	46	0	72	0	0	34	96	5	0	0	0	188	0	3
RCBTB2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC1	300	167	146	0	22	100	233	1	1310	1	39	80	123	10	29	10	6	674	1	3
RCC1L	403	146	179	6	4	101	358	0	1370	0	33	77	114	36	1	25	12	507	0	12
RCC2	240	140	123	5	13	142	359	11	234	10	21	55	82	17	7	14	15	397	3	16
RCC2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
RCC2P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCCD1	143	77	42	5	4	35	119	0	268	0	19	42	69	7	0	4	2	161	0	2
RCCD1-AS1	3	1	0	0	0	4	4	0	1	0	0	2	2	0	0	0	3	1	0	0
RCE1	161	56	69	14	22	53	173	7	294	5	35	38	53	28	0	19	9	147	4	0
RCHY1	97	48	26	13	0	27	47	0	82	0	14	30	43	5	10	5	8	76	0	8
RCL1	72	27	31	5	5	36	89	0	256	0	14	17	18	1	0	1	5	160	0	0
RCN1	47	30	12	5	4	20	17	0	172	0	9	18	17	4	0	2	0	70	0	2
RCN1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCN1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCN2	161	128	44	6	4	72	129	1	202	3	32	196	89	15	0	17	5	240	4	13
RCN3	34	25	8	0	0	4	5	0	28	0	4	9	10	4	0	0	0	8	0	0
RCOR1	238	122	89	6	18	97	237	40	132	20	57	102	114	12	5	52	23	224	36	39
RCOR2	107	43	37	11	22	67	17	92	19	29	15	28	40	32	6	49	47	38	34	19
RCOR3	393	210	136	17	56	217	340	161	171	111	68	218	161	62	14	167	109	293	185	109
RCSD1	1584	551	759	53	74	848	2884	25	1856	0	329	484	377	173	64	228	42	2530	1	128
RCVRN	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RD3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDH10	111	81	60	0	6	26	31	28	87	49	18	110	89	35	8	28	38	297	66	27
RDH10-AS1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
RDH11	214	98	91	0	11	93	227	0	437	0	42	80	84	26	13	24	10	283	0	12
RDH12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDH13	11	1	2	0	0	8	4	0	17	0	4	1	1	4	0	4	0	9	0	2
RDH14	92	37	28	0	0	36	87	2	119	0	12	34	34	7	8	8	0	130	0	0
RDH16	4	1	6	0	0	2	20	0	6	0	0	0	2	1	0	0	0	7	0	0
RDH5	5	2	3	6	0	6	30	0	0	0	8	3	4	2	0	3	0	14	0	3
RDH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDM1	4	3	2	0	0	0	4	0	37	0	0	0	1	0	0	0	0	10	0	0
RDM1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDM1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDM1P3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RDM1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDM1P5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
RDX	486	449	138	0	49	204	119	201	82	150	60	309	340	65	10	97	142	325	230	79
REC114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC8	127	60	61	0	0	65	122	0	375	0	8	43	69	5	11	0	0	188	0	4
RECK	31	12	11	0	6	18	49	0	40	0	4	8	7	4	0	1	0	55	0	6
RECQL	250	184	79	12	8	137	309	4	282	0	36	110	102	8	13	18	8	378	0	19
RECQL4	285	136	116	0	4	57	197	0	1390	0	8	50	126	4	17	0	0	444	0	4
RECQL5	543	226	218	6	8	149	508	1	755	0	95	110	187	29	0	44	6	255	0	29
REELD1	5	1	0	0	0	2	20	1	4	0	4	2	5	0	0	0	0	3	0	0
REEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REEP2	21	8	13	0	0	0	8	0	65	0	0	4	6	0	6	0	0	23	2	3
REEP3	86	50	39	0	5	24	60	0	135	0	29	38	39	6	0	12	4	85	0	3
REEP4	255	87	83	13	11	32	146	4	772	0	11	49	90	10	0	0	0	341	0	4
REEP5	537	257	178	7	16	142	498	1	984	0	65	162	194	51	25	41	4	565	1	30
REEP6	18	4	5	0	4	4	9	0	57	0	4	5	7	1	0	0	0	17	0	0
REG1A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
REG1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG1CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG4	12	4	6	0	0	0	0	0	22	0	0	6	1	2	0	0	0	21	0	0
REL	90	59	43	1	46	225	251	7	90	0	158	36	26	6	0	60	14	152	0	46
RELA	753	264	328	34	76	384	941	4	1275	0	155	211	187	65	37	70	12	1108	0	59
RELA-DT	23	5	7	0	0	27	41	0	50	0	6	18	10	0	5	3	0	38	0	3
RELB	561	207	232	16	21	147	530	7	1471	0	84	161	186	69	13	52	13	968	0	36
RELCH	242	147	77	0	32	173	216	63	146	62	66	118	113	35	17	61	45	206	109	67
RELL1	14	7	5	0	0	6	7	0	44	0	0	12	12	2	5	0	2	36	0	0
RELL2	110	36	41	0	0	37	65	2	122	3	17	35	37	6	0	1	12	142	9	0
RELN	4	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	4	1	1
RELT	238	87	88	25	4	130	289	4	424	0	43	92	76	23	8	47	15	353	0	9
REM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REM2	20	5	7	0	5	11	82	0	32	0	26	11	6	6	0	8	0	25	0	4
REN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RENBP	98	15	68	0	8	53	186	0	389	0	19	26	17	17	6	0	8	134	0	8
REP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REPIN1	1300	690	625	40	25	367	1140	1	1274	0	187	307	477	93	50	45	46	1067	3	91
