	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
PPP1R10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R11	45	19	20	0	0	20	12	0	35	0	0	34	10	5	0	5	3	9	0	63	0	0
PPP1R11P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R11P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R12A	749	589	358	21	160	659	667	500	267	447	309	945	288	404	50	211	236	409	266	893	855	373
PPP1R12A-AS1	2	1	0	0	0	2	0	0	3	0	4	0	1	1	0	0	0	0	0	0	0	4
PPP1R12B	100	62	31	13	9	50	131	6	55	18	25	101	30	25	5	8	30	71	3	126	23	36
PPP1R12BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R12BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R12C	904	249	356	46	46	375	1028	10	2296	0	175	466	226	125	46	30	24	311	14	1512	0	30
PPP1R13B	132	57	56	0	4	36	135	6	102	3	7	74	41	15	1	4	4	38	7	191	5	14
PPP1R13L	83	23	25	6	0	48	107	0	141	0	37	43	21	10	13	9	8	58	1	117	0	3
PPP1R14A	10	3	2	0	0	26	113	0	47	0	3	5	7	0	0	0	0	84	1	28	0	0
PPP1R14B	790	376	489	31	83	334	500	145	3103	219	135	426	355	268	20	220	153	197	267	1651	336	144
PPP1R14B-AS1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R14BP2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
PPP1R14BP3	8	4	1	0	0	3	12	1	25	0	2	6	1	1	0	0	0	5	0	11	1	1
PPP1R14BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R14C	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
PPP1R14D	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PPP1R15A	523	186	270	26	89	163	718	9	1706	2	183	310	217	69	16	37	4	226	17	1401	9	29
PPP1R15B	462	319	136	18	64	242	583	33	326	41	147	410	136	82	23	64	24	274	26	730	57	66
PPP1R16A	91	19	30	0	0	15	110	0	265	0	4	38	20	10	0	4	5	32	1	121	0	0
PPP1R16B	2607	784	1003	46	97	890	1857	20	2684	1	360	1844	495	304	84	86	90	731	28	3732	2	124
PPP1R17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R18	50	33	36	7	4	34	159	1	189	0	18	40	35	5	0	4	4	34	4	208	2	2
PPP1R1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R1AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R1AP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R1B	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0
PPP1R1C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
PPP1R2	325	200	96	11	23	95	242	5	285	0	38	314	110	28	26	9	18	101	4	580	3	6
PPP1R21	331	134	110	8	17	149	246	29	309	16	43	253	76	48	5	20	41	137	26	401	53	44
PPP1R26	38	26	21	5	0	39	80	0	75	0	1	25	15	7	0	3	4	38	3	114	0	2
PPP1R26-AS1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	14	0	4	0	0
PPP1R26P1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
PPP1R26P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R26P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R26P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R26P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2B	2	0	2	0	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	4	0	0
PPP1R2C	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R2P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R32	18	4	4	0	0	7	41	0	56	0	3	24	12	4	0	0	0	16	0	24	0	3
PPP1R35	247	78	100	1	0	30	145	0	785	0	14	129	63	23	0	0	4	57	5	358	0	7
PPP1R35-AS1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PPP1R36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R37	313	80	101	15	5	49	280	8	437	10	49	202	79	41	4	0	33	81	14	337	10	9
PPP1R3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R3B	4	1	2	0	0	0	1	0	10	0	0	4	0	2	1	0	0	3	0	1	0	0
PPP1R3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R3D	80	25	27	5	7	37	95	1	32	0	0	61	16	8	4	3	10	65	5	114	0	0
PPP1R3E	198	66	52	0	4	117	282	7	91	0	32	160	28	25	4	3	21	187	8	173	0	11
PPP1R3F	62	25	27	12	0	29	61	23	79	8	17	55	25	28	7	12	8	26	18	77	30	50
PPP1R3G	7	0	2	0	0	0	0	0	8	0	0	12	0	0	0	0	0	0	1	1	0	0
PPP1R42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R7	400	198	223	6	17	97	389	1	1764	0	74	271	164	31	42	9	26	107	8	872	0	3
PPP1R8	329	156	139	17	12	136	399	10	580	4	77	242	117	49	19	19	48	138	17	582	11	15
PPP1R8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R9A	11	2	0	0	0	25	26	0	7	0	17	12	0	0	0	0	8	16	0	10	0	0
PPP1R9A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R9B	1926	810	919	69	115	1159	2947	93	2751	63	509	1314	627	341	57	118	140	1123	93	2822	112	223
PPP2CA	4379	2239	1781	116	681	1735	1535	2387	1681	1918	717	3447	2103	1993	109	857	882	727	2889	2761	3981	1485
PPP2CB	292	135	119	4	25	108	169	72	163	89	24	198	118	99	11	36	31	67	75	208	137	48
PPP2R1A	2006	715	934	89	92	535	1488	257	5321	197	305	1121	788	348	93	123	169	403	256	2637	296	201
PPP2R1B	156	79	97	0	10	43	145	0	316	0	39	103	49	18	6	8	4	50	5	362	1	3
PPP2R2A	1602	846	683	43	288	799	730	991	758	610	366	1328	720	746	50	315	282	431	857	1184	1297	626
PPP2R2B	11	0	2	0	0	0	0	0	12	4	0	9	1	2	0	4	0	0	0	16	5	0
PPP2R2B-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R2C	3	2	1	5	2	0	0	2	3	1	0	2	1	2	1	0	2	0	2	0	4	1
PPP2R2D	280	122	72	9	17	120	286	12	441	17	80	191	97	38	34	10	37	110	13	400	29	27
PPP2R2DP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R3A	29	21	18	0	4	23	20	20	8	25	15	27	8	15	6	5	16	3	4	20	44	33
PPP2R3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R3C	153	84	58	1	7	40	114	12	316	19	22	124	48	15	0	9	5	52	27	219	30	5
PPP2R5A	815	433	236	31	81	315	458	260	371	203	128	679	314	264	25	121	84	193	196	800	393	193
PPP2R5B	532	252	252	10	42	218	317	135	184	156	121	400	227	178	8	63	95	107	136	370	349	134
PPP2R5C	1475	722	523	56	124	433	1002	128	2215	114	197	1210	515	263	52	79	106	509	147	2573	189	137
PPP2R5D	433	176	199	24	32	179	268	109	390	140	92	317	161	141	3	38	66	91	74	596	212	118
PPP2R5E	1568	1078	618	42	225	832	610	1191	393	877	401	1594	764	767	54	359	435	379	717	789	1811	828
PPP3CA	1329	770	442	55	277	652	727	688	256	538	355	1181	580	543	51	308	350	400	683	599	1024	685
PPP3CB	1779	1209	606	17	257	640	517	771	420	596	279	1455	738	709	36	444	455	341	463	947	1180	740
PPP3CB-AS1	39	18	11	0	4	9	33	0	10	0	0	34	8	6	0	0	10	31	1	35	0	3
PPP3CC	307	105	91	29	32	137	376	4	424	0	58	237	77	25	5	5	17	180	2	466	2	3
PPP3R1	1099	791	486	70	177	672	463	804	445	724	271	1147	588	602	26	292	445	324	524	784	1724	668
PPP3R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP4C	1165	358	478	26	50	260	780	74	3844	102	139	562	375	163	32	45	34	203	120	1654	146	121
PPP4R1	199	92	85	0	9	86	197	9	222	2	22	125	46	30	4	10	34	134	4	321	4	7
PPP4R1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
PPP4R1L	73	38	14	4	0	45	162	0	87	0	17	76	20	19	0	5	10	103	0	171	0	5
PPP4R2	529	385	196	7	116	344	356	337	168	265	150	593	232	238	12	116	119	218	184	589	555	207
PPP4R3A	1359	834	509	53	203	941	1322	513	561	338	424	1416	528	504	46	317	298	797	459	1406	816	520
PPP4R3B	1029	829	301	61	124	537	700	493	282	365	257	1282	421	342	24	152	169	393	219	844	829	352
PPP4R3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP4R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP5C	359	172	184	8	28	164	373	31	819	61	67	212	139	61	18	17	38	68	9	703	71	60
PPP5D1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PPP6C	960	571	299	29	76	314	487	376	630	388	151	800	400	362	18	87	119	204	302	834	789	205
PPP6R1	2183	822	934	83	63	905	2408	28	4695	13	339	1364	605	222	101	89	98	724	49	4088	34	64
PPP6R2	874	325	337	53	27	250	849	34	1706	29	114	564	274	92	27	30	67	405	46	1232	41	50
PPP6R2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP6R3	894	536	295	50	142	406	641	329	608	183	211	817	365	217	27	107	141	379	140	1096	411	245
PPRC1	346	173	204	25	42	251	471	64	611	54	148	241	145	97	18	22	45	194	80	754	86	105
PPT1	390	156	115	10	20	97	402	4	663	0	48	281	136	52	21	8	4	145	4	696	0	18
PPT2	0	1	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	7	0	0
PPT2-EGFL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
PPTC7	312	199	94	11	17	189	337	76	159	40	88	342	65	50	13	24	65	200	17	491	45	47
PPWD1	261	140	113	11	19	122	368	4	341	3	61	267	77	34	18	11	22	180	14	376	2	13
PPY	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPY2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQBP1	467	155	202	13	20	114	414	0	1560	0	24	318	195	51	8	27	4	87	21	642	0	22
PQLC1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRADC1	73	24	21	0	0	0	31	0	252	0	0	29	28	9	0	4	0	0	3	117	0	0
PRADC1P1	1	0	1	0	0	0	3	0	0	0	4	1	0	0	0	0	0	12	1	4	0	4
PRAF2	49	19	11	0	0	5	52	0	156	0	5	23	13	4	0	6	0	17	4	69	0	0
PRAG1	97	23	56	0	5	53	195	2	60	0	20	111	22	9	0	1	11	32	0	100	0	6
PRAL	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	0
PRAM1	5	1	3	0	0	0	3	2	26	0	0	5	1	1	0	0	0	0	0	23	0	3
PRAME	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMENP	19	16	5	0	0	8	25	0	19	0	0	12	18	3	0	0	0	20	2	30	0	0
PRANCR	18	4	7	0	0	3	21	0	14	0	8	19	8	2	0	0	0	12	0	17	0	0
PRAP1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
PRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRC1	4	5	0	0	0	0	0	0	13	0	0	4	1	1	0	0	0	0	0	15	0	0
PRC1-AS1	2	2	3	0	0	0	0	0	8	0	0	1	2	0	0	0	5	0	0	4	0	0
PRCC	549	198	209	11	14	194	531	43	1120	39	111	295	218	76	12	15	37	187	43	792	52	21
PRCD	9	1	1	0	0	3	12	0	4	0	4	4	0	3	0	0	0	18	0	0	0	0
PRCP	386	178	158	0	35	109	460	0	395	0	15	255	132	34	0	4	32	187	2	451	0	12
PRCPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM1	795	683	212	0	5	14	57	2	299	0	4	483	392	14	0	0	0	9	0	330	2	12
PRDM10	75	47	19	5	12	71	131	18	27	26	16	93	30	18	9	15	25	77	19	94	39	19
PRDM11	60	26	25	0	6	37	105	7	51	3	5	56	18	16	6	2	17	77	4	116	10	9
PRDM12	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0
PRDM13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PRDM14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM15	1011	1039	360	7	11	98	228	1	159	0	50	582	492	18	5	14	22	109	1	252	1	30
PRDM16	3	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	2	0	1	0
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PRDM2	726	385	275	27	95	506	1195	14	472	4	276	682	205	161	36	56	112	814	27	1205	5	125
PRDM4	194	93	83	1	8	81	241	23	212	17	45	151	64	32	7	13	12	137	11	333	42	26
PRDM5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRDM6	0	0	3	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	1	2	3	0
PRDM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM8	87	10	20	2	0	63	174	3	81	0	35	79	1	20	7	0	0	89	1	308	0	0
PRDM9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX1	1072	444	343	22	26	206	652	2	3074	3	68	544	371	71	41	23	14	156	17	1984	2	12
PRDX1P1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX2	535	277	170	14	5	44	306	2	1922	0	40	245	260	40	4	9	0	81	7	1002	1	6
PRDX2P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRDX2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX2P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX2P4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRDX3	527	341	163	5	8	114	266	0	767	0	56	421	219	33	0	9	4	54	4	996	1	15
PRDX3P1	5	0	0	0	0	0	4	0	0	0	4	3	1	1	0	0	0	3	0	5	0	4
PRDX3P2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX4	298	146	79	4	17	50	94	14	712	22	11	173	165	25	0	10	13	40	28	357	10	20
PRDX4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX5	1219	378	490	24	43	170	443	8	4201	1	104	470	435	68	16	18	23	105	11	1423	0	3
PRDX6	690	278	264	22	27	193	598	40	1710	55	44	404	251	102	23	29	35	136	64	1096	108	33
PREB	818	357	280	22	4	87	338	0	1310	0	32	373	319	45	4	8	16	115	9	883	2	3
PRECSIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRELID1	512	226	236	13	39	153	253	107	1457	90	77	285	243	162	10	46	55	113	115	873	160	55
PRELID1P1	6	1	3	1	0	0	2	2	15	0	2	3	5	0	0	0	0	0	0	10	1	1
PRELID1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID1P4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID1P5	1328	639	662	40	107	427	344	736	317	662	181	868	618	774	22	197	324	141	1072	556	1137	457
PRELID1P6	196	94	97	18	22	69	71	115	104	93	22	121	82	112	12	42	73	31	131	94	119	56
PRELID1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID2	3	4	6	0	0	4	5	0	9	0	2	4	0	0	0	0	0	0	0	12	0	0
PRELID2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3A	1	3	3	0	0	2	7	0	12	0	0	7	4	2	0	0	0	4	0	9	0	0
PRELID3B	278	171	121	1	7	109	284	7	561	6	40	242	91	39	5	12	14	127	10	685	12	19
PRELID3BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
PRELID3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
PRELID3BP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PREP	204	92	76	6	4	70	159	1	409	0	25	156	62	24	5	0	8	81	3	301	0	10
PREPL	155	84	70	4	18	64	178	18	71	24	53	161	62	47	1	33	32	49	20	205	39	23
PREX1	1588	601	649	57	61	508	1335	5	1675	0	131	975	380	171	32	65	80	503	27	2166	4	50
PREX2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRF1	223	16	30	9	0	4	7	0	457	0	0	133	20	24	6	0	0	4	2	590	0	0
PRG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRG4	4	1	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	29	0	0
PRH1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0
PRH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE1	32	11	17	0	4	82	114	0	12	0	20	38	7	15	4	0	6	74	7	71	0	7
PRICKLE2	5	0	2	0	0	0	2	0	5	0	0	3	1	3	0	0	0	2	0	16	0	4
PRICKLE2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE2-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRICKLE3	104	33	45	2	9	26	123	0	160	0	17	87	41	11	0	4	4	28	2	143	0	7
PRICKLE4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
PRIM1	400	206	160	10	50	196	161	79	189	137	63	319	108	163	0	51	75	48	82	256	197	112
PRIM2	89	37	35	0	0	22	72	0	264	0	12	57	43	5	0	4	0	14	3	190	0	0
PRIMA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRIMPOL	25	20	10	0	0	11	40	0	63	0	4	31	12	4	0	0	4	18	1	88	0	0
PRKAA1	261	155	94	6	26	184	354	46	197	46	95	327	66	65	8	33	54	212	32	424	52	48
PRKAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAB1	482	185	198	20	34	143	288	173	441	66	93	330	146	103	16	42	50	140	159	429	117	133
PRKAB2	90	71	30	6	11	84	159	6	48	2	64	115	20	21	0	10	19	92	3	167	2	12
PRKACA	296	131	143	19	22	119	180	103	115	80	33	175	85	125	4	57	42	77	85	299	189	76
PRKACB	335	154	81	0	4	133	345	1	171	0	47	333	84	40	10	9	27	173	2	332	0	19
PRKACG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG1	321	146	132	0	4	112	311	2	775	0	27	204	104	30	6	8	16	131	5	530	1	3
PRKAG2	335	137	110	13	30	136	163	100	141	86	25	230	120	115	5	48	41	77	88	262	194	84
PRKAG2-AS1	11	1	2	0	0	0	10	0	16	0	0	10	0	2	0	6	0	4	0	19	0	0
PRKAG3	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PRKAR1A	867	537	285	39	32	286	759	54	540	20	145	905	273	113	27	28	57	317	49	1272	50	42
PRKAR1AP1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRKAR1B	123	37	38	6	1	46	125	2	645	0	14	77	34	15	0	1	11	27	0	372	0	0
PRKAR1B-AS1	43	10	19	0	1	11	15	0	121	0	5	30	14	8	0	0	0	4	0	77	0	0
PRKAR1B-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAR2A	173	119	56	7	16	96	155	7	176	5	49	132	60	31	0	19	12	78	7	392	6	19
