	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
USF2	787	626	371	95	333	278	2160	296	288	1281	523	353	104	160	221	740	204	2342	340	360
USF3	54	42	8	12	63	16	216	34	51	154	46	36	10	15	70	247	2	225	63	29
USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USH1G	2	2	1	0	0	1	1	3	0	2	0	2	0	0	0	0	3	2	1	4
USH2A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
USHBP1	1	1	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0
USO1	169	306	33	5	53	7	426	22	53	500	191	57	13	13	43	179	15	730	32	46
USP1	90	139	16	18	40	5	403	3	19	322	117	40	20	18	17	123	4	679	6	10
USP10	135	187	42	21	67	12	663	0	45	361	169	76	0	14	23	213	2	954	0	36
USP11	154	160	70	19	60	7	576	0	25	354	133	55	10	15	11	229	8	745	0	25
USP12	171	150	44	11	89	36	458	60	61	373	114	84	14	41	46	200	20	767	111	105
USP12-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP12-AS2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
USP12P1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
USP12P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP12PX	1	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0
USP12PY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP13	15	28	3	0	0	2	84	1	5	53	26	5	4	4	9	55	1	157	1	3
USP14	976	985	506	50	324	467	1072	1059	205	1525	964	669	54	141	212	233	476	1127	1351	506
USP15	345	319	157	32	223	124	813	225	142	736	224	226	26	80	157	294	121	1113	348	166
USP16	92	126	14	9	42	6	300	5	25	234	79	29	5	24	30	116	5	503	6	18
USP17L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L16P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP18	3	0	1	0	2	0	33	0	0	2	2	2	0	0	0	0	0	54	0	0
USP19	495	559	363	25	259	292	1015	376	215	926	528	460	15	111	114	398	698	982	484	330
USP2	16	12	7	0	12	8	26	22	14	26	13	21	0	9	1	5	13	12	32	17
USP2-AS1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
USP20	142	139	54	15	29	17	788	1	30	299	117	72	18	4	22	166	5	895	0	23
USP21	206	223	180	35	111	95	407	168	81	311	190	164	7	63	54	154	150	412	210	146
USP21P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP21P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP22	212	240	58	18	89	32	1028	8	76	550	268	123	29	47	71	369	6	1381	8	58
USP24	318	304	85	61	183	75	891	165	159	883	189	204	51	146	93	856	53	1034	232	181
USP24P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP25	167	120	52	8	71	47	348	111	79	332	93	143	0	30	42	192	54	480	142	74
USP26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP27X	6	4	4	3	0	4	39	0	3	18	5	3	6	6	4	25	0	51	0	0
USP27X-AS1	2	0	0	0	0	0	4	0	0	3	3	1	0	0	0	4	0	11	0	0
USP28	120	119	21	12	60	36	372	19	18	295	93	65	17	14	34	299	7	472	16	45
USP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP3	172	191	126	16	126	79	389	189	51	362	163	159	15	46	86	122	114	402	262	129
USP3-AS1	1	4	1	0	6	0	5	0	0	6	2	0	0	0	0	4	0	1	0	0
USP30	10	10	3	0	3	0	60	0	7	35	13	6	5	0	3	24	0	91	0	0
USP30-AS1	6	5	2	0	0	0	23	0	0	10	4	1	0	0	3	9	0	41	0	0
USP31	10	21	8	0	6	5	35	12	13	27	7	16	0	13	8	15	2	61	37	18
USP32	165	202	74	28	95	76	381	229	97	336	152	131	14	83	78	216	61	423	288	144
USP32P1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
USP32P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
USP32P3	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	7	0	3	0	0
USP33	131	135	36	47	65	19	339	28	24	257	81	62	5	10	28	179	9	391	44	44
USP34	721	842	251	89	613	577	865	1009	374	1575	497	639	32	376	425	811	422	1049	1510	949
USP35	48	67	20	0	10	40	126	27	14	99	55	36	0	10	14	16	19	126	53	32
USP36	73	87	27	6	23	7	474	0	64	238	92	56	0	22	22	186	16	824	0	13
USP37	17	23	3	0	11	3	98	1	2	57	15	6	0	5	7	72	1	110	2	3
USP38	76	65	8	0	27	5	192	15	13	175	43	27	0	8	12	98	4	325	28	16
USP39	87	108	32	14	24	3	571	8	18	278	109	67	8	15	20	150	19	935	2	11
USP4	176	188	111	26	133	40	763	79	53	474	199	137	48	25	63	254	42	1032	104	74
USP40	21	47	11	0	17	4	110	2	7	55	41	12	5	8	6	49	3	164	11	7
USP41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP42	44	47	14	3	16	3	164	6	8	123	40	32	0	7	14	69	6	234	6	8
USP43	2	4	4	0	4	6	7	12	8	8	2	5	0	8	2	0	4	15	10	0
USP44	3	4	1	0	4	0	9	0	0	24	0	1	0	4	0	12	0	22	0	0
USP45	25	26	0	0	4	4	52	0	6	87	19	7	0	6	9	58	3	71	0	1
USP46	69	54	39	7	80	30	102	145	28	124	42	45	1	41	58	12	27	117	134	80
USP46-DT	1	1	0	5	5	0	0	0	4	6	1	2	0	5	2	0	0	4	0	0
USP47	353	381	174	25	213	162	553	368	175	680	295	263	18	74	173	264	166	732	454	319
USP48	193	406	44	17	46	29	669	6	43	640	295	83	31	27	37	297	33	1088	7	22
USP49	56	46	35	0	47	34	115	81	41	141	36	46	9	21	24	43	7	102	83	85
USP5	201	300	133	5	81	73	997	118	51	459	246	134	45	49	67	113	103	1447	142	107
USP50	4	2	0	0	0	0	8	0	4	0	0	0	0	0	0	1	0	7	0	0
USP51	10	3	0	0	0	0	13	0	4	9	0	5	0	0	0	12	2	19	0	0
USP53	25	66	7	16	16	1	67	1	7	87	23	18	5	0	12	77	2	119	5	0
USP54	32	26	17	0	20	16	47	55	38	29	17	23	4	22	18	28	7	38	82	20
USP6	2	4	1	0	0	0	43	1	13	12	3	2	4	0	0	8	0	43	1	0
USP6NL	97	118	21	19	32	8	296	3	33	353	96	29	18	9	29	243	8	365	3	13
USP7	861	1033	414	69	614	563	2401	790	484	1761	730	695	89	380	377	864	349	2786	1054	694
USP8	84	118	13	7	48	12	253	0	28	269	89	41	1	13	23	280	7	355	1	16
USP8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP8P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9X	840	1030	391	64	625	624	1248	1104	402	1789	838	684	51	325	427	877	629	1473	1515	778
USP9Y	115	2	23	2	71	2	316	7	3	325	3	50	8	27	30	4	5	424	7	16
USP9YP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USPL1	76	75	19	4	40	9	260	0	24	199	59	38	6	8	35	253	8	306	0	14
UST	29	10	11	0	0	3	91	0	0	89	7	17	6	1	0	41	2	125	0	6
UST-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTF1	1	0	0	0	0	0	2	0	0	5	2	0	0	0	0	0	0	1	0	0
UTP11	40	53	10	0	7	1	229	1	20	80	55	18	7	5	2	44	0	390	0	0
UTP14A	52	66	18	0	11	2	356	0	23	143	74	30	5	8	9	59	0	554	0	7
UTP14C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP15	31	28	1	10	17	4	126	13	18	55	16	12	6	6	1	34	0	167	13	4
UTP18	101	108	53	26	58	14	452	32	43	255	130	66	8	28	22	146	30	796	36	34
UTP20	28	54	12	6	23	0	223	0	14	93	34	20	0	4	13	112	4	322	0	13
UTP23	31	35	8	0	18	0	90	0	0	103	26	13	0	18	7	54	1	146	0	1
UTP25	46	30	14	6	6	8	176	0	31	91	21	17	0	24	37	140	4	246	0	3
UTP3	110	136	19	18	17	6	402	0	26	236	105	46	0	17	7	173	10	570	0	9
UTP4	179	216	109	24	132	89	438	240	98	309	137	191	18	116	94	88	148	532	269	157
UTP6	123	153	35	6	57	10	462	0	22	244	99	35	17	10	11	233	3	668	0	18
UTRN	120	68	22	12	92	14	372	1	66	337	44	67	22	39	51	480	2	479	0	38
UTS2	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0
UTS2B	15	14	0	0	0	0	2	0	0	25	4	1	0	0	0	0	0	14	0	0
UTS2R	3	22	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	2	0	0
UTY	48	2	4	6	29	0	164	0	0	194	0	23	6	8	19	0	0	267	3	12
UVRAG	102	127	34	10	73	30	340	33	34	249	97	64	7	27	38	291	24	489	43	40
UVRAG-DT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
UVSSA	33	35	3	7	19	5	93	0	8	85	29	14	0	4	6	101	0	174	0	3
UXS1	87	79	49	12	28	16	415	37	18	154	71	61	5	16	5	105	22	478	53	19
UXT	158	170	110	20	50	33	429	77	27	310	203	96	12	17	27	71	105	479	101	43
UXT-AS1	0	2	0	0	5	0	5	0	0	10	0	0	0	0	0	0	0	2	0	0
VAC14	118	127	39	3	60	30	388	23	31	212	111	66	6	18	29	142	41	497	29	48
VAC14-AS1	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	3	0	0
VAMP1	182	187	24	0	62	31	348	0	18	415	143	48	0	14	44	283	11	418	0	17
VAMP2	181	227	94	18	160	138	681	67	117	445	168	135	34	86	113	375	75	940	129	170
VAMP3	42	25	9	0	31	5	165	0	13	94	29	10	0	9	7	51	5	197	0	0
VAMP4	124	110	54	0	60	50	124	79	38	199	76	66	14	29	47	88	49	161	111	68
VAMP5	83	52	28	26	3	0	268	0	4	150	76	14	0	0	8	4	4	369	0	0
VAMP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP8	154	156	62	27	11	14	695	1	28	335	137	45	23	8	8	117	5	975	0	13
VAMP9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VANGL1	8	8	2	0	0	0	96	0	0	12	12	7	0	0	0	3	0	102	0	1
VANGL2	3	1	2	0	0	0	31	1	7	7	1	1	9	0	0	1	0	20	2	0
VAPA	2831	2735	1287	101	1382	1614	2299	1659	973	3553	2150	1582	131	885	963	720	2347	2276	2814	1533
VAPB	263	288	232	13	149	263	458	385	113	472	260	289	20	109	126	216	218	451	472	202
VARS1	107	229	80	11	48	64	952	47	49	262	215	101	9	24	32	126	40	1390	75	46
VARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VASH1	16	1	3	0	0	2	41	0	3	12	4	3	4	0	0	8	0	47	0	3
VASH1-AS1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0
VASH2	10	13	4	0	1	0	13	5	1	13	5	12	0	0	0	12	5	41	10	3
VASN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
VASP	425	446	141	36	68	45	2085	32	48	844	479	171	57	24	51	395	34	2868	39	39
VAT1	133	117	79	10	45	27	528	5	50	200	93	77	19	12	24	199	8	593	10	29
VAT1L	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0
Vault	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAV1	254	280	63	31	43	8	978	0	49	513	230	68	20	18	28	235	19	1160	0	26
VAV2	185	220	75	30	37	35	569	19	87	496	187	114	19	38	63	314	17	942	34	77
VAV3	46	31	20	6	35	6	161	0	6	120	22	27	14	4	41	250	1	150	2	4
VAV3-AS1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
VAX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBP1	118	175	61	4	52	57	340	113	31	260	146	95	8	21	23	66	78	543	159	62
VCAM1	3	0	0	0	0	0	12	0	0	12	0	2	0	0	0	0	0	14	0	0
VCAN	1	3	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	1	12
VCAN-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCL	260	319	205	14	213	234	466	778	138	511	230	388	21	172	137	223	91	379	953	293
VCP	933	1549	408	122	395	153	3899	443	219	2006	1238	505	100	189	213	595	325	5264	439	356
VCPIP1	249	186	104	12	104	74	409	219	142	494	148	145	19	108	109	277	89	565	273	201
VCPKMT	16	18	5	0	15	0	81	0	5	51	13	8	0	1	6	55	3	89	0	8
VCX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCX3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1	328	461	138	34	120	107	1844	70	59	737	364	149	30	51	64	259	105	2859	123	97
VDAC1P1	2	1	0	1	1	4	7	0	1	7	0	1	1	4	0	5	2	7	1	1
VDAC1P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1P11	19	23	25	5	27	19	28	32	17	23	12	28	0	1	12	3	20	16	45	17
VDAC1P12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1P13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1P2	1	1	0	4	1	0	3	1	0	1	4	0	0	1	1	0	2	0	0	0
VDAC1P3	2	0	0	0	0	0	1	0	0	1	1	0	3	1	0	0	0	0	0	0
VDAC1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VDAC1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1P6	3	3	3	2	1	3	1	3	2	9	2	3	1	2	2	0	3	2	2	0
VDAC1P7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC1P8	3	3	0	0	3	0	11	0	0	7	2	0	0	0	0	10	0	17	0	0
VDAC1P9	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	0	1	0	0
VDAC2	180	247	99	32	47	34	866	67	40	434	255	106	20	16	45	115	49	1125	104	73
VDAC2P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC2P2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VDAC2P3	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
VDAC2P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDAC2P5	48	44	33	9	49	29	61	38	13	53	53	59	0	16	27	25	37	50	74	26
VDAC3	591	714	545	46	362	289	1510	579	166	989	694	518	76	224	253	265	640	1669	811	402
VDAC3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
VDR	46	89	3	0	0	0	201	0	0	121	66	23	0	4	0	0	0	227	0	0
VEGFA	620	688	278	13	274	758	494	368	259	1167	448	407	21	125	143	151	461	455	466	367
VEGFB	425	460	352	46	206	209	858	314	178	578	425	402	28	172	97	232	355	840	367	168
VEGFC	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
VEGFD	1	8	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	5	0	0
VENTX	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	8	0	14	0	0
VENTXP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VENTXP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEPH1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
VEZF1	895	847	371	67	542	750	787	977	439	1459	628	770	37	364	398	357	603	731	1652	694
VEZF1P1	1	9	2	0	3	7	1	3	4	5	8	1	2	6	0	1	1	0	5	1
VEZT	66	107	20	0	25	9	214	6	10	158	89	25	6	4	11	72	7	352	7	13
VGF	4	3	8	5	0	0	4	2	6	3	5	1	0	1	0	0	4	5	7	6
VGLL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VGLL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VGLL3	116	104	75	0	80	101	143	358	96	207	131	180	13	50	68	32	141	77	431	85
VGLL4	42	54	13	7	7	5	130	0	4	129	23	22	0	5	5	53	2	159	0	0
VHL	135	194	46	21	47	14	432	0	33	337	129	33	19	19	42	161	10	498	0	12
VHLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VILL	43	34	15	0	32	2	212	0	2	110	36	20	21	5	13	56	5	252	0	6
VIM	1044	1170	827	84	574	507	3878	911	301	1699	1216	888	103	249	345	358	553	4546	1073	507
VIM-AS1	13	14	3	0	2	0	58	0	5	44	13	3	0	0	0	37	0	70	0	3
VINAC1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIPAS39	59	50	15	8	3	0	159	0	12	120	54	19	0	1	4	80	0	222	0	3
VIPR1	5	5	1	0	0	0	32	0	0	11	5	1	0	0	0	7	0	39	0	0
VIPR1-AS1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0
VIPR2	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	19	0	0
VIRMA	364	391	176	43	170	228	605	350	110	699	343	283	33	114	158	230	198	751	416	215
VIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VKORC1	10	12	3	0	5	0	22	0	2	24	15	2	0	4	0	6	0	43	2	0
VKORC1L1	177	194	93	17	164	118	314	171	104	312	131	152	7	67	72	110	91	396	256	196
VLDLR	31	35	20	0	13	35	51	36	18	61	15	52	4	5	23	5	19	42	62	57
VLDLR-AS1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
VMA21	56	67	9	8	7	1	206	0	4	163	80	22	0	6	5	52	0	357	0	0
VMAC	10	11	2	0	5	3	55	0	2	22	12	4	9	0	0	33	1	46	0	0
VMO1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	0	0
VMP1	319	290	85	6	50	34	851	99	45	754	273	106	34	35	33	106	56	1343	120	59
VN1R1	2	0	0	0	0	0	6	0	0	4	2	0	0	0	4	4	1	2	0	0
VN1R104P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R105P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R107P	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VN1R108P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
VN1R10P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R110P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R18P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R20P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R21P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R25P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R28P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VN1R31P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
